school_name,tuition_range,number_of_students
St. Mary's International School,¥2480000~¥2550000,864
International School of the Sacred Heart,¥2210000~¥2480000,530
The British School in Tokyo,¥2625000~¥2760000,1100
The American School in Japan,¥2815000~¥2970000,1700
Tokyo YMCA International School,¥1716000~¥1716000,190
Global Indian International School, Tokyo,¥891117~¥1954425,600
Kohana International School,¥784000~¥1034000,100
United School of Tokyo,¥1475000~¥1805000,230
Clarence International School,¥1800000~¥1800000,50
Rugby School Japan,¥5000000~¥6000000,
New International School of Japan,¥1800000~¥2100000,255
Saint Maur International School,¥2465000~¥2525000,500
Yokohama Christian School,¥1492000~¥1882000,40
Deutsche Schule Tokyo Yokohama,¥1550000~¥1700000,400
Tamagawa Academy (K12) and University,¥1930500~¥1960500,370
UIA International School of Tokyo,¥1059800~¥2151600,400
KAIS Elementary & Middle School,¥2129000~¥2179000,92
Musashi International School Tokyo,¥1080700~¥1667000,212
Christian Academy in Japan,¥1670000~¥2170000,464
Shinagawa International School,¥2000000~¥2100000,250
KAIS International School,¥2383333~¥2383333,52
Lycée Francais International de Tokyo,¥1095260~¥1271677,1450
Tokyo International School,¥2730000~¥2780000,360+
Tokyo Bay International School,¥870000~¥960000,Over 100
Canadian International School Tokyo,¥1850000~¥2250000,450
Laurus International School of Science,¥1749000~¥2645000,230
Bunka Suginami Canadian International School,¥1475000~¥1805000,
Horizon Japan International School,¥1800000~¥2100000,450+
K. International School Tokyo,¥2302000~¥2302000,630
Columbia International School,¥1624500~¥1887000,245
Nishimachi International School,¥2910000~¥2910000,460
Tokyo International Progressive School,¥3120480~¥3120480,40
Seisen International School,¥2130000~¥2270000,649
Phoenix House International School,¥2890000~¥3240000,288
MEES International School,¥1136500~¥1349000,70
India International School in Japan,¥610000~¥1220000,
The French-Japanese International School of Tokyo,¥870000~¥960000,
Makuhari International School,¥1200000~¥1500000,385
Axis International School,¥1749000~¥2645000,80
Yoyogi International School,¥2354000~¥2354000,120
Aoba-Japan International School,¥1966500~¥2666500,600
Gregg International School,¥2129000~¥2166500,
Sai Sishya International School,¥1749000~¥2645000,100
The Montessori School of Tokyo,¥2410000~¥2510000,200
Camelot International School,¥1190000~¥1210000,75
